Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,23439.2,23452.6,23270.9,23319.9,23319.9,63400
2019-11-14,23325.5,23360.1,23062.2,23141.6,23141.6,79900
2019-11-15,23160.5,23340.8,23121.6,23303.3,23303.3,72200
2019-11-18,23304.2,23420.6,23271.3,23416.8,23416.8,57300
2019-11-19,23366.4,23389.5,23244.9,23292.7,23292.7,64200
2019-11-20,23176.5,23303.2,23086.1,23148.6,23148.6,65700
2019-11-21,23071.5,23108.1,22726.7,23038.6,23038.6,69800
2019-11-22,23030.3,23219.5,23030.3,23112.9,23112.9,55600
2019-11-25,23292.8,23347.2,23255.4,23292.8,23292.8,50300
2019-11-26,23451.4,23608.1,23350.1,23373.3,23373.3,94300
2019-11-27,23452.8,23507.8,23418.2,23437.8,23437.8,52200
2019-11-28,23458.9,23482.3,23367.3,23409.1,23409.1,44800
2019-11-29,23497.4,23498.8,23273.4,23293.9,23293.9,52100
2019-12-02,23388.6,23562.1,23378.4,23529.5,23529.5,47700
2019-12-03,23231.1,23388.2,23186.8,23379.8,23379.8,58800
2019-12-04,23186.7,23203.8,23044.8,23135.2,23135.2,58100
2019-12-05,23292.7,23363.4,23259.8,23300.1,23300.1,61400
2019-12-06,23347.7,23412.5,23338.4,23354.4,23354.4,54400
2019-12-09,23544.3,23544.3,23360,23430.7,23430.7,55800
2019-12-10,23372.4,23449.5,23336.9,23410.2,23410.2,52800
2019-12-11,23421.1,23438.4,23333.6,23391.9,23391.9,61300
2019-12-12,23449.3,23468.2,23360.4,23424.8,23424.8,56300
2019-12-13,23810.6,24050,23775.7,24023.1,24023.1,115500
2019-12-16,23955.2,24036.3,23950.1,23952.3,23952.3,53300
2019-12-17,24091.1,24091.1,23996.5,24066.1,24066.1,64000
2019-12-18,24023.3,24046.1,23919.4,23934.4,23934.4,66300
2019-12-19,23911.5,23945.5,23835.3,23864.8,23864.8,55600
2019-12-20,23893.4,23908.8,23746.6,23816.6,23816.6,70300
2019-12-23,23921.3,23923.1,23810.8,23821.1,23821.1,45200
2019-12-24,23839.2,23853.6,23796.3,23830.6,23830.6,37900
2019-12-25,23813.6,23824.8,23782.9,23782.9,23782.9,31600
2019-12-26,23787.7,23931.5,23775.4,23924.9,23924.9,40300
2019-12-27,23953.8,23967.2,23837.7,23837.7,23837.7,44800
2019-12-30,23770.9,23782.5,23656.6,23656.6,23656.6,41600
2020-01-06,23319.8,23365.4,23148.5,23204.9,23204.9,72800
2020-01-07,23320.1,23577.4,23299.9,23575.7,23575.7,64300
2020-01-08,23217.5,23303.2,22951.2,23204.8,23204.8,79400
2020-01-09,23530.3,23767.1,23506.2,23739.9,23739.9,62200
2020-01-10,23813.3,23903.3,23761.1,23850.6,23850.6,55900
2020-01-14,23969,24059.9,23951.7,24025.2,24025.2,64200
2020-01-15,23923.5,23997.4,23875.8,23916.6,23916.6,57200
2020-01-16,23960.2,23975.4,23905.4,23933.1,23933.1,55400
2020-01-17,24103.4,24115.9,24013.8,24041.3,24041.3,59400
2020-01-20,24080.7,24108.1,24061.7,24083.5,24083.5,38300
2020-01-21,24072.8,24081.8,23843.5,23864.6,23864.6,44600
2020-01-22,23835.5,24040.9,23831.1,24031.3,24031.3,49000
2020-01-23,23843.5,23910,23779.2,23795.4,23795.4,55500
2020-01-24,23850.1,23869.4,23755.3,23827.2,23827.2,48700
2020-01-27,23427.9,23463.9,23317.3,23343.5,23343.5,62400
2020-01-28,23126.9,23243.4,23115.2,23215.7,23215.7,64400
2020-01-29,23309.3,23392.6,23214.3,23379.4,23379.4,54900
2020-01-30,23284.6,23318.6,22892.9,22977.8,22977.8,69600
2020-01-31,23148.9,23421.6,23140,23205.2,23205.2,75400
2020-02-03,22874.3,23023.7,22775.9,22971.9,22971.9,72500
2020-02-04,22881.1,23118.1,22854.4,23084.6,23084.6,67900
2020-02-05,23351.5,23414.7,23241.6,23319.6,23319.6,70300
2020-02-06,23641.1,23995.4,23625.1,23873.6,23873.6,95100
2020-02-07,23899,23943.4,23759.4,23828,23828,65400
2020-02-10,23631.8,23788.2,23621.7,23686,23686,56500
2020-02-12,23741.2,23869.7,23693.7,23861.2,23861.2,74600
2020-02-13,23849.8,23908.8,23784.3,23827.7,23827.7,64500
2020-02-14,23714.5,23738.4,23603.5,23687.6,23687.6,69100
2020-02-17,23489.8,23562,23336,23523.2,23523.2,54000
2020-02-18,23398.6,23402,23133.6,23193.8,23193.8,59500
2020-02-19,23329.3,23468.6,23235,23400.7,23400.7,61600
2020-02-20,23666.6,23806.6,23426.4,23479.2,23479.2,63300
2020-02-21,23427.8,23588.6,23378.3,23386.7,23386.7,62100
2020-02-25,22949.4,22950.2,22335.2,22605.4,22605.4,105800
2020-02-26,22374.1,22456.6,22127.4,22426.2,22426.2,99300
2020-02-27,22255.8,22272.3,21844.3,21948.2,21948.2,106200
2020-02-28,21518,21528.1,20916.4,21143,21143,148500
2020-03-02,20849.8,21593.1,20834.3,21344.1,21344.1,123700
2020-03-03,21652,21719.8,21082.7,21082.7,21082.7,105300
2020-03-04,20897.2,21245.9,20862.1,21100.1,21100.1,94600
2020-03-05,21399.9,21399.9,21220.8,21329.1,21329.1,85700
2020-03-06,21009.8,21061.2,20613.9,20749.8,20749.8,111700
2020-03-09,20343.3,20347.2,19472.3,19698.8,19698.8,170300
2020-03-10,19474.9,19970.3,18891.8,19867.1,19867.1,164700
2020-03-11,19758.3,19974.8,19392.2,19416.1,19416.1,129200
2020-03-12,19064.5,19142.2,18339.3,18559.6,18559.6,164600
2020-03-13,18183.5,18184.5,16690.6,17431.1,17431.1,233400
2020-03-16,17586.1,17785.8,16914.4,17002,17002,158100
2020-03-17,16726.9,17557,16378.9,17011.5,17011.5,198800
2020-03-18,17154.1,17396.8,16698.5,16726.6,16726.6,177200
2020-03-19,16995.8,17161,16358.2,16552.8,16552.8,198900
2020-03-23,16570.6,17049,16480.9,16887.8,16887.8,170300
2020-03-24,17206.9,18100.4,17197.1,18092.3,18092.3,147300
2020-03-25,18446.8,19564.4,18446.8,19546.6,19546.6,147700
2020-03-26,19234.8,19240.3,18512.8,18664.6,18664.6,128100
2020-03-27,19022,19389.4,18832.2,19389.4,19389.4,148900
2020-03-30,18884.1,19085,18578.2,19085,19085,121000
2020-03-31,19181.9,19336.2,18834.2,18917,18917,122200
2020-04-01,18686.1,18784.2,17871.6,18065.4,18065.4,105800
2020-04-02,17934.4,18132,17707.7,17818.7,17818.7,107300
2020-04-03,17951.4,18059.2,17646.5,17820.2,17820.2,96000
2020-04-06,17858,18672.3,17802.6,18576.3,18576.3,105700
2020-04-07,18878.9,19162.5,18553.1,18950.2,18950.2,108200
2020-04-08,19047.8,19454.3,18730.8,19353.2,19353.2,105900
2020-04-09,19376,19407,19158.6,19345.8,19345.8,82300
2020-04-10,19500.1,19500.1,19236,19498.5,19498.5,87500
2020-04-13,19312,19355,19014.3,19043.4,19043.4,65600
2020-04-14,19150.3,19706,19093.1,19638.8,19638.8,81900
2020-04-15,19589.2,19660.7,19465.9,19550.1,19550.1,94100
2020-04-16,19311.3,19362.2,19154.4,19290.2,19290.2,81400
2020-04-17,19575.8,19922.1,19554.7,19897.3,19897.3,87800
2020-04-20,19689.8,19784.4,19611.8,19669.1,19669.1,65000
2020-04-21,19479.8,19529.1,19193.2,19280.8,19280.8,79400
2020-04-22,19109.2,19137.9,18858.2,19137.9,19137.9,76400
